word1,word2,count
node/1,interval,35
node/1,empty,2250
node/1,k,18
node/1,I1,18
node/1,I0,18
node/1,_,18
node/1,0,18
node/1,1,18
node/1,N,11
node/1,X,6
root,empty,199973
root,color/1,109
root,neq,1896
root,e/2,16360
root,assign/2,923
root,not,1161
root,node/1,157
root,eq,1901
root,node/2,68
root,color/2,14
root,s/1,306
root,inter/2,6749
root,sel/1,1825
root,s/2,114
root,inter/1,42
root,sel/2,98
root,e/1,151
root,v/1,448
root,cov/2,14
root,cov/1,269
root,v/2,44
root,vx/1,306
root,vx/2,125
root,edge/2,972
root,set/2,953
root,vertex/1,269
root,set/1,2
root,vertex/2,104
root,edge/1,2
root,aux/1,26
root,cover/2,206
root,nodes/1,26
root,covered/2,412
root,shared/2,601
assign/2,k,242
assign/2,1,242
assign/2,N,164
assign/2,I0,218
assign/2,I1,218
assign/2,0,242
assign/2,color/1,2
assign/2,interval,314
assign/2,node/1,2
assign/2,assign/2,2
assign/2,e/2,2
assign/2,not,2
assign/2,neq,2
assign/2,eq,2
assign/2,body_aggregate,2
assign/2,_,218
assign/2,empty,168
assign/2,M,1
assign/2,C,1
color/1,N,15
color/1,empty,676
color/1,interval,23
color/1,k,12
color/1,I1,12
color/1,I0,12
color/1,_,12
color/1,0,12
color/1,1,12
neq,k,986
neq,N,24
neq,1,1026
neq,0,1026
neq,M,1
neq,C,1
neq,E,154
neq,X,352
neq,_,10
neq,Y,192
neq,S,52
neq,V1,9
neq,V2,9
e/2,interval,4614
e/2,_,3536
e/2,1,3834
e/2,N,213
e/2,0,3834
e/2,k,3834
e/2,I0,3540
e/2,I1,3540
e/2,empty,2154
e/2,assign/2,2
e/2,node/1,2
e/2,e/2,40
e/2,not,40
e/2,neq,40
e/2,body_aggregate,40
e/2,eq,40
e/2,color/1,2
e/2,M,1
e/2,C,1
e/2,X,2953
e/2,inter/2,17
e/2,sel/1,38
e/2,E,1152
e/2,Y,1399
e/2,cov/1,8
e/2,s/1,8
e/2,v/1,10
e/2,S,149
e/2,vx/1,9
e/2,A,49
e/2,V,279
e/2,shared/2,2
e/2,V2,93
e/2,V1,93
not,not,214
not,empty,4212
not,e/2,212
not,body_aggregate,214
not,assign/2,14
not,node/1,18
not,color/1,12
not,sel/1,197
not,inter/2,73
not,s/1,29
not,inter/1,3
not,e/1,13
not,v/1,51
not,cov/1,29
not,vx/1,37
not,edge/2,11
not,vertex/1,29
not,set/2,11
not,aux/1,3
not,cover/2,3
not,nodes/1,3
not,covered/2,6
not,shared/2,6
eq,k,976
eq,1,1016
eq,N,24
eq,0,1016
eq,M,1
eq,C,1
eq,E,147
eq,X,354
eq,Y,197
eq,S,52
eq,V1,9
eq,V2,9
node/2,interval,46
node/2,empty,136
node/2,k,16
node/2,1,16
node/2,0,16
node/2,C,14
node/2,M,14
node/2,N,14
color/2,interval,16
color/2,empty,28
color/2,k,4
color/2,1,4
color/2,0,4
aggregate,empty,94
aggregate,0,87
aggregate,k,16
aggregate,N,1
aggregate,1,85
aggregate,inter/2,29
aggregate,e/2,52
aggregate,s/1,8
aggregate,sel/1,46
aggregate,inter/1,4
aggregate,e/1,6
aggregate,cov/1,4
aggregate,v/1,4
aggregate,vx/1,1
aggregate,cover/2,1
aggregate,covered/2,2
sel/1,interval,376
sel/1,empty,36373
sel/1,E,79
sel/1,k,206
sel/1,I1,206
sel/1,1,206
sel/1,X,227
sel/1,_,206
sel/1,I0,206
sel/1,0,206
sel/1,Y,89
sel/1,neq,17
sel/1,eq,17
sel/1,sel/1,17
sel/1,e/2,17
sel/1,inter/2,8
sel/1,not,17
sel/1,body_aggregate,17
sel/1,v/1,6
sel/1,s/1,6
sel/1,cov/1,4
sel/1,S,10
sel/1,vx/1,1
sel/1,A,4
sel/1,N,4
sel/1,V,23
sel/1,shared/2,2
sel/1,V1,6
sel/1,V2,6
s/1,X,55
s/1,empty,487
s/1,interval,74
s/1,Y,12
s/1,1,27
s/1,I1,27
s/1,I0,27
s/1,0,27
s/1,k,27
s/1,_,27
s/1,S,10
s/1,E,3
inter/2,X,1433
inter/2,E,1121
inter/2,interval,1727
