instance,real,cpu,ram,timeout,memout,status,fault.localization.time,answer.set.enum.time,smt.enum.construction.time,smt.enum.time,build_program.time,block.time,eval.time,grounding.time,tmp.1.time,tmp.2.time,enumerated.count,blocked.count,eval.failed.count,eval.failed.time,sat.calls.count,sat.calls.unique.count,unsat.calls.count,unsat.calls.unique.count,candidate.checks.multicount,ground_truth.checks.multicount,total.time
toy_example,0.694248,0.416651,36712,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000878,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.509039
toy_example_,0.308701,0.264534,31636,False,False,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000245,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.203744
nqueens/3,68.4809,68.4324,78368,False,False,0,0.036373,0.248609,0.782033,9.762042,4.314276,3.931024,44.812552,24.114411,11.906895,2.660941,14586,0,0,0.000000,101,10,7721,40,"Counter({'inf': 7722, 1: 6536, 2: 204, 3: 69, 4: 37, 5: 18})","Counter({1: 7625, 2: 96, 'inf': 1})",68.371349
nqueens/0,2.01802,1.66453,73844,False,False,0,0.026553,0.337234,0.057302,0.007024,0.004735,0.004422,0.059248,0.066586,0.012950,0.005658,26,0,0,0.000000,5,5,7,1,"Counter({1: 18, 'inf': 8})","Counter({1: 7, 'inf': 1})",1.766633
nqueens/5,1.37083,1.32686,70060,False,False,0,0.024604,0.240748,0.059032,0.003910,0.002015,0.001902,0.022823,0.040021,0.004435,0.005090,11,0,0,0.000000,5,5,1,1,"Counter({1: 9, 'inf': 2})","Counter({1: 1, 'inf': 1})",1.270734
nqueens/2,0.294031,0.257364,40188,False,False,0,0.015782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017036,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.197405
nqueens/4,1.68919,1.65454,73600,False,False,0,0.017162,0.242337,0.107472,0.024898,0.017963,0.017688,0.260258,0.164892,0.063584,0.014388,104,0,0,0.000000,5,5,42,2,"Counter({1: 56, 'inf': 43, 2: 3, 3: 1, 4: 1})","Counter({1: 42, 'inf': 1})",1.589566
nqueens/1,1.34478,1.30965,74244,False,False,0,0.019019,0.241670,0.057743,0.006811,0.004583,0.004339,0.057345,0.056619,0.013040,0.005484,25,0,0,0.000000,5,5,7,1,"Counter({1: 16, 'inf': 8, 2: 1})","Counter({1: 7, 'inf': 1})",1.248061
shortest_path/0,0.346188,0.303059,36560,False,False,0,0.009661,0.008391,0.000000,0.000000,0.000000,0.000000,0.000000,0.008012,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.245987
exam_1920_1/0,1.23052,1.19354,71540,False,False,0,0.002470,0.006429,0.373829,0.088670,0.066786,0.064666,0.273708,0.069098,0.058439,0.016751,363,0,0,0.000000,1,1,285,1,"Counter({'inf': 286, 1: 77})","Counter({1: 285, 'inf': 1})",1.130438
exam_1920_1/1,0.276757,0.241494,40204,False,False,0,0.003348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002079,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.179376
exam_2122/0,0.352051,0.318188,50028,False,False,0,0.002414,0.006635,0.061864,0.002340,0.000585,0.000533,0.002428,0.002798,0.000982,0.000561,3,0,0,0.000000,2,2,2,1,Counter({'inf': 3}),"Counter({1: 2, 'inf': 1})",0.255082
exam_2122/1,0.278232,0.244685,41432,False,False,0,0.002930,0.006598,0.000000,0.000000,0.000000,0.000000,0.000000,0.002252,0.000000,0.000000,0,0,0,0.000000,0,0,0,0,Counter(),Counter(),0.183586
sitting/0,600.068,600.017,97988,True,False,,,,,,,,,,,,,,,,,,,,,,
exam_1920_2/0,1.00785,0.626195,66148,False,False,0,0.007860,0.026291,0.096527,0.006822,0.004037,0.003820,0.028802,0.011588,0.014367,0.002469,17,0,0,0.000000,5,5,16,1,Counter({'inf': 17}),"Counter({1: 16, 'inf': 1})",0.752536
